symbol,type,price,quantity,usd_value,distance_percent,timestamp
XRPUSDT,ASK,2.875,368691.3,1059987.4875,0.8842725805319633,2025-08-22T02:52:06.795079
XRPUSDT,ASK,2.8628,232012.9,664206.53012,0.4561723629728367,2025-08-22T02:52:06.795027
XRPUSDT,ASK,2.8555,205852.5,587811.8137500001,0.2000140360727082,2025-08-22T02:52:06.794963
XRPUSDT,BID,2.78,1769375.4,4918863.612,-2.449294687346491,2025-08-22T02:52:06.795672
XRPUSDT,BID,2.81,1254767.5,3525896.6750000003,-1.3965892343322357,2025-08-22T02:52:06.795542
XRPUSDT,BID,2.76,1144678.9,3159313.7639999995,-3.1510983226893226,2025-08-22T02:52:06.795752
LINKUSDT,ASK,25.393,20014.78,508235.30854,2.631153504162961,2025-08-22T02:52:11.426235
LINKUSDT,ASK,24.95,20343.84,507578.80799999996,0.840675773987545,2025-08-22T02:52:11.426167
LINKUSDT,ASK,25.619,19518.26,500038.30293999997,3.544580066284047,2025-08-22T02:52:11.426264
LINKUSDT,BID,24.0,26273.83,630571.92,-2.998949155282519,2025-08-22T02:52:11.426391
LINKUSDT,BID,23.758,21800.44,517934.85351999995,-3.977043084633424,2025-08-22T02:52:11.426423
ADAUSDT,ASK,0.92,545973.0,502295.16000000003,8.197106903445855,2025-08-22T02:52:13.746886
ADAUSDT,BID,0.8,1736737.0,1389389.6,-5.915559214394908,2025-08-22T02:52:13.747177
ADAUSDT,BID,0.78,1635060.0,1275346.8,-8.267670234035037,2025-08-22T02:52:13.747245
ADAUSDT,BID,0.7708,1445823.0,1114440.3684,-9.349641303069495,2025-08-22T02:52:13.747278
BNBUSDT,BID,833.0,3081.57,2566947.81,-0.7742703990470519,2025-08-22T02:52:19.652562
BNBUSDT,BID,835.0,1666.41,1391452.35,-0.5360333531864204,2025-08-22T02:52:19.652475
BNBUSDT,BID,830.0,774.86,643133.8,-1.1316259678379987,2025-08-22T02:52:19.652673
DOGEUSDT,ASK,0.224,4415497.0,989071.328,4.3024771838331155,2025-08-22T02:52:37.006920
DOGEUSDT,BID,0.21289,3057836.0,650982.70604,-0.8707394300614688,2025-08-22T02:52:37.006971
DOGEUSDT,BID,0.2066,2964587.0,612483.6742,-3.7995902402682065,2025-08-22T02:52:37.007071
DOGEUSDT,BID,0.21,2809426.0,589979.46,-2.21642764015646,2025-08-22T02:52:37.007018
KAVAUSDT,BID,0.3634,5851904.8,2126582.20432,-2.206673842841761,2025-08-22T02:52:39.323668
KAVAUSDT,BID,0.363,2694577.1,978131.4873,-2.314316469321851,2025-08-22T02:52:39.323686
KAVAUSDT,BID,0.314,2388566.9,750010.0066,-15.500538213132398,2025-08-22T02:52:39.323817
DOTUSDT,BID,3.31,601598.1,1991289.711,-12.710970464135016,2025-08-22T02:52:45.175923
DOTUSDT,BID,3.61,314678.5,1135989.385,-4.799578059071729,2025-08-22T02:52:45.175864
DOTUSDT,BID,3.56,307649.3,1095231.508,-6.118143459915606,2025-08-22T02:52:45.175881
CRVUSDT,ASK,5.554,4400000.0,24437600.0,547.3193473193473,2025-08-22T02:52:47.420145
